,context,question,answer
0,"一个铁塔一样的黑大个儿拦住了他。他用一种厌恶的神情站着看了大角一会儿：“啊，这个——是——什么？”他叫道。 
    “我是个孩子。”大角怯生生地说，“我是来找水银的，大夫说，我能在这儿找到水银。” 
    “孩子？”黑铁塔皱着眉头使劲地盯着他看，“够了，你是从木叶城来的吧。啊哈，你是那些无所事事的资产阶级享乐分子，你们总是索取，就没有想到过付出。” 
    “我不是享乐分子。”大角分辨说，“我只想要一点点水银。” 
    “啊，没错，我们这儿有水银。”黑铁塔吼着说，“我们这儿有水银，但是你得用劳动来交换，不劳而获是可耻的。”",啊，这个——是——什么？”,"{'铁塔一样的黑大个儿', '黑铁塔'}"
1,"因此，一天，达岸询问说：“听傲德说妈妈要去看望欧恩，是吗？”帕洛伊只好支支吾吾地应付了一句。达岸却双膝跪倒，抓住帕洛伊的双手，极恳切地说：
“妈妈，望妈妈相信我吧，我是最同情妈妈的。如果妈妈想去探望就去吧，我不反对。因为现在案子已经定妥了，按照监狱的规定，去探监是许可的。我只担心一样，就是妈妈自己。我想问一下妈妈，妈妈是否已做好了去看望欧恩哥哥的充分准备？上次我之所以不同意妈妈去的原因之一是：怕妈妈看到了狱中的哥哥，会比没看到时更加伤心、痛苦。妈妈可能因此而病倒。这一点是儿最挂心的。现在妈妈是否做好了充分准备？妈妈想没想到：欧恩哥哥是狱中犯人，不是一般的人可以随随便便地交谈的？”",“妈妈，望妈妈相信我吧，我是最同情妈妈的。如果妈妈想去探望就去吧，我不反对。因为现在案子已经定妥了，按照监狱的规定，去探监是许可的。我只担心一样，就是妈妈自己。我想问一下妈妈，妈妈是否已做好了去看望欧恩哥哥的充分准备？上次我之所以不同意妈妈去的原因之一是：怕妈妈看到了狱中的哥哥，会比没看到时更加伤心、痛苦。妈妈可能因此而病倒。这一点是儿最挂心的。现在妈妈是否做好了充分准备？妈妈想没想到：欧恩哥哥是狱中犯人，不是一般的人可以随随便便地交谈的？”,{'达岸'}
2,"妩恩看见帕洛伊膝行进来了，便打开装着蜜蜡的象牙盒子来涂唇 ，然后用无所谓的腔调发问：
“要跟你妈妈走吗？'
帕洛伊不作声，只是低头望着地板，连动也不敢动，感到全身说不出的冷。
“走就走，愈远愈好！别去了来，来了去，别丢你妈祖宗八代的人！”",“走就走，愈远愈好！别去了来，来了去，别丢你妈祖宗八代的人！”,{'妩恩'}
3,"傲德极为不满地注意着佘威与自己妹妹的关系。有时傲德板着脸，好几天不跟妹妹说一句话。有时，他实在忍无可忍，便对帕洛伊发牢骚：
“妈妈，儿对布拉俳这丫头恶心透了，她对那家伙的崇拜简直肉麻！妈妈都不能讲讲她吗？”
“你真一点儿也不替妈妈着想啊！”帕洛伊无可奈何地说。因为傲德的话正好说到帕洛伊心里，她也有这个感觉，但又不敢向自己承认。
“她又没什么错，妈怎么能讲她呢！你自己不是说过布拉俳长大了，不是孩子了吗？”
“这样也罢，”傲德的口气缓和了下来，“但如果妈妈的孩子和不好的人交往，妈妈还是可以禁止的！”",“她又没什么错，妈怎么能讲她呢！你自己不是说过布拉俳长大了，不是孩子了吗？”,{'帕洛伊'}
4,"帕洛伊看到这儿，望了望妈妈，妈妈却点头同意：“去吧，孩子。妈妈陪你去。向门槛儿磕个头就没事了，谁也不会把你怎么的。”接着又附耳说道：“帕洛伊，今后在宫中住下去，一定要牢牢记住：不要惹女门卫生气。她们可会骂人哩！我们惹不起她们哟！”
妈妈牵着帕洛伊的手回到门口。刚才跟妈妈打招呼的那位中年女门卫长问道：“她是蔡姆的孩子吗？她可能还没来过吧？”",“帕洛伊，今后在宫中住下去，一定要牢牢记住：不要惹女门卫生气。她们可会骂人哩！我们惹不起她们哟！”,"{'蔡姆', '妈妈'}"
5,"由于这种种缘故，所以，当达岸一天来见帕洛伊并征求她的意见时，她感到十分诧异并惊奇得几乎跳起来。那时达岸是这样对她说的：
“妈妈，佘威让我来征求意见，如果他来向布拉俳求婚，妈妈是否反对，如果不反对，他将请老人来办理。”
“佘威，……”帕洛伊重复着，她感到眼前一片昏黑，象要昏厥过去。
“佘威将向布拉俳求婚……慢着，达岸。让妈喘一口气……妈事先一点也不晓得……”
“他早告诉我他很喜欢布拉俳，从开始来往起就看上她了。我看他是个好人，先前又是要好的朋友——而且自前，说来他也是儿的上级。我也不好反对，并且介绍他认识了布拉俳，同意他到我们家里来。他有多好，多规矩，妈也见了。”达岸说。",“妈妈，佘威让我来征求意见，如果他来向布拉俳求婚，妈妈是否反对，如果不反对，他将请老人来办理。”,{'达岸'}
6,"赛伊正在专心倾听蔡姆叙述家事，但有时也瞥帕洛伊一眼。当她看到帕洛伊目不转睛地望着那些放食品的瓶子出神时，赛伊才想了起来，问道：
“吃过饭了没有啊？”
妈妈听到后双手合十，说道：
“噢！我和孩子自早上到现在水米还不曾沾牙理！看，都快晌午了！”
“蔡姆哟，你真是！只晓得服丈夫吵嘴，却让孩子饿饭，这可不饿坏了！”说着赛伊便招手要帕洛伊坐近些。”",“蔡姆哟，你真是！只晓得服丈夫吵嘴，却让孩子饿饭，这可不饿坏了！”,{'赛伊'}
7,"由于这种种缘故，所以，当达岸一天来见帕洛伊并征求她的意见时，她感到十分诧异并惊奇得几乎跳起来。那时达岸是这样对她说的：
“妈妈，佘威让我来征求意见，如果他来向布拉俳求婚，妈妈是否反对，如果不反对，他将请老人来办理。”
“佘威，……”帕洛伊重复着，她感到眼前一片昏黑，象要昏厥过去。
“佘威将向布拉俳求婚……慢着，达岸。让妈喘一口气……妈事先一点也不晓得……”
“他早告诉我他很喜欢布拉俳，从开始来往起就看上她了。我看他是个好人，先前又是要好的朋友——而且自前，说来他也是儿的上级。我也不好反对，并且介绍他认识了布拉俳，同意他到我们家里来。他有多好，多规矩，妈也见了。”达岸说。",“佘威将向布拉俳求婚……慢着，达岸。让妈喘一口气……妈事先一点也不晓得……”,{'帕洛伊'}
8,"“赛伊带谁上来了？”一位女子的声音从上面传来，声音像银铃一样清脆、圆润。帕洛伊想这大概是贵妃的声音，于是更低地垂下了头，不敢仰视。在赛伊回禀前，帕洛伊又听到：
“是蔡姆不是？”
帕浩伊替了妈妈一眼，见妈妈又顶礼膜拜一次，帕洛伊也就赶忙顶礼膜拜一次。
“噢，那是谁，问一句就拜一次？怎么样啊，蔡姆？走了几年啦？到今天才露面，我还以为你已不在了呢！”
“今天带女儿来献身哪，贵妃，”",“噢，那是谁，问一句就拜一次？怎么样啊，蔡姆？走了几年啦？到今天才露面，我还以为你已不在了呢！”,{'贵妃'}
9,"一天下午，达岸来跟妈妈谈了一会儿别的事情后便说：
“妈，你对傲德的事怎么个说法？”
“傲德又干了什么事呀，达岸？”帕洛伊问。
“傲德并没干什么事，妈妈。”达岸说。“问题在于：他什么也不干，白坐着吃，叫人替他心烦。”
“傲德是你的亲弟弟，”帕洛伊推脱地说，“达岸认为怎样好，为什么不能象亲弟兄一样谈谈呢？”
“妈妈心里也明白，岸无法跟他谈，一是他不听；二是一谈正经话，他就扯到玩笑上去了，甚至还用话气人。达岸都木愿意跟他说话了，只有母亲一人可以跟他谈。”",“妈妈心里也明白，岸无法跟他谈，一是他不听；二是一谈正经话，他就扯到玩笑上去了，甚至还用话气人。达岸都木愿意跟他说话了，只有母亲一人可以跟他谈。”,{'达岸'}
